Codigo;Descricao;Cor;Tam;Qtde Ped.;Valor pedido;V. Unit.
004713;CAMISA FLOR PERFEITA;GOIABA;00000000030P;1;135,9;135,9
004713;CAMISA FLOR PERFEITA;GOIABA;00000000031M;1;135,9;135,9
004713;CAMISA FLOR PERFEITA;GOIABA;00000000032G;1;135,9;135,9
005165;BLAZER  BROCHE VELUDO ALFAIATARIA;BLUSH;00000000030P;2;353,8;176,9
005165;BLAZER  BROCHE VELUDO ALFAIATARIA;BLUSH;00000000031M;1;176,9;176,9
005165;BLAZER  BROCHE VELUDO ALFAIATARIA;BLUSH;00000000032G;1;176,9;176,9
005167;CASACO FAIXA ACONCHEGO;MENTA;00000000030P;1;238,9;238,9
005167;CASACO FAIXA ACONCHEGO;MENTA;00000000031M;1;238,9;238,9
005171;SUETER JUJUBA;MOSTARDA;00000000030P;1;98,9;98,9
